int logctl_get(): open '/dev/hwlog_switch' fail -1, 13. Permission denied

Note: log switch off, only log_main and log_events will have logs!
--------- beginning of /dev/log/main
08-08 14:16:29.955 W/System.err( 3061): 	at com.android.server.pm.PackageManagerService.onTransact(PackageManagerService.java:1683)
08-08 14:16:29.955 W/System.err( 3061): 	at huawei.com.android.server.pm.HwPackageManagerService.onTransact(HwPackageManagerService.java:361)
08-08 14:16:29.955 W/System.err( 3061): 	at android.os.Binder.transact(Binder.java:361)
08-08 14:16:29.955 W/System.err( 3061): 	at com.kingroot.hook.binder.BinderProxyBase.onTransact(SourceFile:34)
08-08 14:16:29.955 W/System.err( 3061): 	at android.os.Binder.execTransact(Binder.java:404)
08-08 14:16:29.960 W/System.err( 3061): 	at dalvik.system.NativeStart.run(Native Method)
08-08 14:16:29.960 W/System.err( 3061): java.lang.IllegalArgumentException: Unknown package: com.mgyun.shua.su
08-08 14:16:29.960 W/System.err( 3061): 	at com.android.server.pm.Settings.getApplicationEnabledSettingLPr(Settings.java:2873)
08-08 14:16:29.960 W/System.err( 3061): 	at com.android.server.pm.PackageManagerService.getApplicationEnabledSetting(PackageManagerService.java:10917)
08-08 14:16:29.960 W/System.err( 3061): 	at android.content.pm.IPackageManager$Stub.onTransact(IPackageManager.java:1081)
08-08 14:16:29.960 W/System.err( 3061): 	at com.android.server.pm.PackageManagerService.onTransact(PackageManagerService.java:1683)
08-08 14:16:29.960 W/System.err( 3061): 	at huawei.com.android.server.pm.HwPackageManagerService.onTransact(HwPackageManagerService.java:361)
08-08 14:16:29.960 W/System.err( 3061): 	at android.os.Binder.transact(Binder.java:361)
08-08 14:16:29.960 W/System.err( 3061): 	at com.kingroot.hook.binder.BinderProxyBase.onTransact(SourceFile:34)
08-08 14:16:29.960 W/System.err( 3061): 	at android.os.Binder.execTransact(Binder.java:404)
08-08 14:16:29.960 W/System.err( 3061): 	at dalvik.system.NativeStart.run(Native Method)
08-08 14:16:29.960 W/System.err( 3061): java.lang.IllegalArgumentException: Unknown package: com.mgyun.rootmaster
08-08 14:16:29.960 W/System.err( 3061): 	at com.android.server.pm.Settings.getApplicationEnabledSettingLPr(Settings.java:2873)
08-08 14:16:29.960 W/System.err( 3061): 	at com.android.server.pm.PackageManagerService.getApplicationEnabledSetting(PackageManagerService.java:10917)
08-08 14:16:29.960 W/System.err( 3061): 	at android.content.pm.IPackageManager$Stub.onTransact(IPackageManager.java:1081)
08-08 14:16:29.960 W/System.err( 3061): 	at com.android.server.pm.PackageManagerService.onTransact(PackageManagerService.java:1683)
08-08 14:16:29.960 W/System.err( 3061): 	at huawei.com.android.server.pm.HwPackageManagerService.onTransact(HwPackageManagerService.java:361)
08-08 14:16:29.960 W/System.err( 3061): 	at android.os.Binder.transact(Binder.java:361)
08-08 14:16:29.960 W/System.err( 3061): 	at com.kingroot.hook.binder.BinderProxyBase.onTransact(SourceFile:34)
08-08 14:16:29.960 W/System.err( 3061): 	at android.os.Binder.execTransact(Binder.java:404)
08-08 14:16:29.960 W/System.err( 3061): 	at dalvik.system.NativeStart.run(Native Method)
08-08 14:16:29.960 W/System.err( 3061): java.lang.IllegalArgumentException: Unknown package: com.iroot
08-08 14:16:29.965 W/System.err( 3061): 	at com.android.server.pm.Settings.getApplicationEnabledSettingLPr(Settings.java:2873)
08-08 14:16:29.965 W/System.err( 3061): 	at com.android.server.pm.PackageManagerService.getApplicationEnabledSetting(PackageManagerService.java:10917)
08-08 14:16:29.965 W/System.err( 3061): 	at android.content.pm.IPackageManager$Stub.onTransact(IPackageManager.java:1081)
08-08 14:16:29.965 W/System.err( 3061): 	at com.android.server.pm.PackageManagerService.onTransact(PackageManagerService.java:1683)
08-08 14:16:29.965 W/System.err( 3061): 	at huawei.com.android.server.pm.HwPackageManagerService.onTransact(HwPackageManagerService.java:361)
08-08 14:16:29.965 W/System.err( 3061): 	at android.os.Binder.transact(Binder.java:361)
08-08 14:16:29.965 W/System.err( 3061): 	at com.kingroot.hook.binder.BinderProxyBase.onTransact(SourceFile:34)
08-08 14:16:29.965 W/System.err( 3061): 	at android.os.Binder.execTransact(Binder.java:404)
08-08 14:16:29.965 W/System.err( 3061): 	at dalvik.system.NativeStart.run(Native Method)
08-08 14:16:29.965 W/System.err( 3061): java.lang.IllegalArgumentException: Unknown package: com.lbe.security.su
08-08 14:16:29.965 W/System.err( 3061): 	at com.android.server.pm.Settings.getApplicationEnabledSettingLPr(Settings.java:2873)
